filename,ZANumber,nodesNumber,atom_mul,atom_connection
ABW-PPT 1,1,1,{ZA1:4},{ZA1:6}
ACO-PPT 1,2,2,{ZA1:6;ZA2:2},{ZA2:6;ZA1:6}
AEI-PPT 1,2,2,{ZA1:4;ZA2:4},{ZA2:8;ZA1:20}
AEL-PPT 1,7,7,{ZA2:4;ZA4:8;ZA7:4;ZA5:4;ZA3:8;ZA1:4;ZA6:8},{ZA2:4;ZA4:5;ZA7:3;ZA5:7;ZA3:3;ZA6:3;ZA1:4}
AEN-PPT 1,4,4,{ZA1:8;ZA3:16;ZA4:16;ZA2:16},{ZA2:3;ZA4:3;ZA3:3;ZA1:8}
AET-PPT 1,10,10,{ZA6:4;ZA1:8;ZA3:8;ZA9:8;ZA5:8;ZA4:8;ZA2:8;ZA10:8;ZA7:4;ZA8:8},{ZA9:5;ZA6:9;ZA1:4;ZA3:3;ZA4:5;ZA2:4;ZA7:3;ZA10:3;ZA8:3;ZA5:3}
AFG-PPT 1,3,3,{ZA1:2;ZA3:2;ZA2:4},{ZA2:11;ZA3:23;ZA1:11}
AFI-PPT 1,4,4,{ZA3:4;ZA1:6;ZA2:12;ZA4:2},{ZA4:8;ZA2:3;ZA1:4;ZA3:5}
AFN-PPT 1,4,4,{ZA1:4;ZA3:2;ZA4:4;ZA2:4},{ZA1:4;ZA3:14;ZA4:3;ZA2:9}
AFO-PPT 1,8,8,{ZA8:8;ZA7:4;ZA2:4;ZA4:4;ZA5:4;ZA3:4;ZA1:4;ZA6:8},{ZA1:4;ZA6:5;ZA3:3;ZA5:3;ZA8:3;ZA7:3;ZA4:7;ZA2:4}
AFR-PPT 1,3,3,{ZA3:2;ZA1:4;ZA2:2},{ZA2:20;ZA3:8;ZA1:6}
AFS-PPT 1,3,3,{ZA2:2;ZA3:4;ZA1:2},{ZA2:26;ZA1:20;ZA3:9}
AFT-PPT 1,5,5,{ZA1:2;ZA3:2;ZA5:4;ZA4:2;ZA2:2},{ZA3:20;ZA5:8;ZA1:8;ZA2:14;ZA4:26}
AFV-PPT 1,3,3,{ZA3:1;ZA1:2;ZA2:2},{ZA2:17;ZA3:20;ZA1:8}
AFX-PPT 1,4,4,{ZA3:2;ZA1:2;ZA2:2;ZA4:2},{ZA2:26;ZA4:8;ZA3:14;ZA1:8}
AFY-PPT 1,2,2,{ZA2:1;ZA1:2},{ZA1:6;ZA2:26}
AHT-PPT 1,4,4,{ZA3:4;ZA1:8;ZA2:8;ZA4:4},{ZA2:3;ZA4:3;ZA3:7;ZA1:4}
ANA-PPT 1,2,2,{ZA2:16;ZA1:24},{ZA2:5;ZA1:6}
ANO-PPT 1,6,6,{ZA4:2;ZA2:4;ZA1:2;ZA6:2;ZA5:2;ZA3:4},{ZA1:8;ZA6:8;ZA5:14;ZA3:11;ZA4:20;ZA2:20}
APC-PPT 1,1,1,{ZA1:8},{ZA1:10}
APD-NT,4,4,{ZA3:4;ZA1:8;ZA2:8;ZA4:8},{ZA1:4;ZA3:4;ZA4:3;ZA2:6}
AST-PPT 1,2,2,{ZA1:4;ZA2:4},{ZA2:18;ZA1:6}
ASV-PPT 1,4,4,{ZA2:2;ZA4:2;ZA3:2;ZA1:2},{ZA2:10;ZA4:6;ZA3:6;ZA1:6}
ATN-PPT 1,2,2,{ZA1:2;ZA2:4},{ZA1:14;ZA2:4}
ATO-PPT 1,3,3,{ZA2:6;ZA1:9;ZA3:18},{ZA3:3;ZA1:6;ZA2:5}
ATS-PPT 1,3,3,{ZA2:4;ZA1:4;ZA3:4},{ZA1:6;ZA3:3;ZA2:9}
ATT-PPT 1,2,2,{ZA1:2;ZA2:2},{ZA2:6;ZA1:10}
ATV-PPT 1,5,5,{ZA2:8;ZA4:4;ZA5:4;ZA3:4;ZA1:4},{ZA4:5;ZA2:3;ZA1:4;ZA5:3;ZA3:6}
AVE-PPT 1,5,5,{ZA2:6;ZA4:6;ZA3:6;ZA5:3;ZA1:3},{ZA5:8;ZA3:20;ZA1:8;ZA2:17;ZA4:11}
AVL-PPT 1,4,4,{ZA1:1;ZA3:2;ZA4:2;ZA2:2},{ZA3:14;ZA1:8;ZA2:23;ZA4:8}
AWO-PPT 1,1,1,{ZA1:8},{ZA1:10}
AWW-PPT 1,2,2,{ZA1:2;ZA2:2},{ZA2:10;ZA1:18}
BCT-PPT 1,2,2,{ZA2:4;ZA1:2},{ZA1:6;ZA2:4}
BEC-PPT 1,6,6,{ZA3:2;ZA5:2;ZA1:2;ZA6:4;ZA2:2;ZA4:4},{ZA2:6;ZA4:8;ZA3:8;ZA5:4;ZA6:4;ZA1:6}
Beta_A-PPT 1,6,6,{ZA2:4;ZA4:4;ZA5:8;ZA3:8;ZA1:8;ZA6:4},{ZA3:5;ZA5:5;ZA6:4;ZA1:7;ZA2:8;ZA4:4}
Beta_B-NT,6,6,{ZA6:4;ZA1:8;ZA5:8;ZA3:8;ZA4:4;ZA2:4},{ZA4:4;ZA2:8;ZA1:7;ZA6:4;ZA3:5;ZA5:5}
Beta_CH-NT,11,11,{ZA5:2;ZA4:4;ZA2:2;ZA10:2;ZA8:4;ZA7:4;ZA11:2;ZA6:4;ZA1:4;ZA3:4;ZA9:4},{ZA4:7;ZA2:8;ZA10:4;ZA8:5;ZA7:4;ZA5:8;ZA9:5;ZA11:4;ZA1:7;ZA6:5;ZA3:5}
BIK-PPT 1,2,2,{ZA1:4;ZA2:4},{ZA2:6;ZA1:4}
BOF-PPT 1,3,3,{ZA3:4;ZA1:4;ZA2:4},{ZA2:10;ZA3:3;ZA1:5}
BOG-PPT 1,8,8,{ZA5:4;ZA2:4;ZA4:8;ZA8:8;ZA7:8;ZA3:4;ZA1:8;ZA6:16},{ZA5:4;ZA8:3;ZA7:5;ZA4:6;ZA2:10;ZA1:8;ZA6:4;ZA3:4}
BOZ-PPT 1,3,3,{ZA1:4;ZA3:4;ZA2:4},{ZA2:22;ZA1:13;ZA3:17}
BPH-PPT 1,3,3,{ZA2:1;ZA3:2;ZA1:1},{ZA3:9;ZA1:20;ZA2:26}
BRE-PPT 1,2,2,{ZA2:2;ZA1:2},{ZA1:6;ZA2:14}
BSV-PPT 1,2,2,{ZA1:24;ZA2:16},{ZA2:8;ZA1:8}
CAN-PPT 1,2,2,{ZA1:2;ZA2:2},{ZA1:11;ZA2:5}
CAS-PPT 1,3,3,{ZA3:4;ZA1:8;ZA2:4},{ZA1:4;ZA3:3;ZA2:9}
CDO-PPT 1,3,3,{ZA2:4;ZA1:8;ZA3:4},{ZA2:13;ZA3:3;ZA1:4}
CFI-PPT 1,3,3,{ZA2:8;ZA1:4;ZA3:4},{ZA3:6;ZA1:10;ZA2:4}
CGF-NT,4,4,{ZA2:2;ZA4:8;ZA3:2;ZA1:4},{ZA1:4;ZA3:12;ZA4:3;ZA2:20}
CGS-PPT 1,1,1,{ZA1:4},{ZA1:14}
CHA-PPT 1,2,2,{ZA1:3;ZA2:3},{ZA2:20;ZA1:8}
CHI-PPT 1,3,3,{ZA2:4;ZA1:8;ZA3:4},{ZA1:3;ZA3:3;ZA2:11}
CIT-13_A-PPT 1,7,7,{ZA4:4;ZA2:2;ZA7:2;ZA1:2;ZA6:4;ZA3:2;ZA5:16},{ZA3:8;ZA5:4;ZA1:6;ZA6:6;ZA7:4;ZA2:16;ZA4:9}
CIT-13_B-PPT 1,7,7,{ZA7:2;ZA4:4;ZA2:2;ZA6:4;ZA1:2;ZA3:2;ZA5:16},{ZA5:4;ZA3:8;ZA6:6;ZA1:6;ZA2:16;ZA4:9;ZA7:4}
CIT-13_C-PPT 1,8,8,{ZA5:4;ZA2:4;ZA4:4;ZA8:8;ZA7:16;ZA3:8;ZA1:4;ZA6:16},{ZA3:9;ZA6:4;ZA1:6;ZA7:4;ZA8:6;ZA2:6;ZA4:16;ZA5:6}
CLO-PPT 1,7,7,{ZA1:12;ZA6:12;ZA3:1;ZA5:1;ZA7:6;ZA4:6;ZA2:3},{ZA7:6;ZA2:14;ZA4:18;ZA3:74;ZA5:26;ZA6:5;ZA1:6}
CON_-NT,9,9,{ZA2:4;ZA4:4;ZA8:4;ZA7:4;ZA5:2;ZA9:2;ZA3:4;ZA1:4;ZA6:4},{ZA8:3;ZA7:5;ZA2:9;ZA4:6;ZA5:6;ZA9:4;ZA3:4;ZA6:5;ZA1:7}
CSV-PPT 1,4,4,{ZA2:1;ZA4:2;ZA3:1;ZA1:2},{ZA3:8;ZA1:6;ZA2:24;ZA4:4}
CZP-NT,3,3,{ZA2:6;ZA1:6;ZA3:6},{ZA3:6;ZA1:4;ZA2:4}
DAC-PPT 1,4,4,{ZA2:2;ZA4:4;ZA3:2;ZA1:2},{ZA4:4;ZA2:6;ZA1:12;ZA3:8}
DDR-PPT 1,3,3,{ZA2:6;ZA3:9;ZA1:3},{ZA3:12;ZA1:12;ZA2:16}
DFO-PPT 1,12,12,{ZA9:2;ZA11:12;ZA6:3;ZA1:4;ZA3:1;ZA4:12;ZA2:2;ZA12:4;ZA10:12;ZA8:2;ZA7:3;ZA5:6},{ZA5:6;ZA10:3;ZA12:5;ZA8:8;ZA7:6;ZA4:4;ZA2:20;ZA1:14;ZA6:8;ZA3:38;ZA11:3;ZA9:11}
DFT-PPT 1,3,3,{ZA3:2;ZA1:2;ZA2:2},{ZA1:6;ZA3:4;ZA2:4}
DOH-PPT 1,3,3,{ZA2:3;ZA3:1;ZA1:2},{ZA2:12;ZA3:20;ZA1:12}
DON-PPT 1,7,7,{ZA5:8;ZA3:4;ZA6:4;ZA1:8;ZA2:8;ZA4:4;ZA7:4},{ZA2:8;ZA4:3;ZA7:3;ZA3:9;ZA5:3;ZA1:5;ZA6:5}
EAB-PPT 1,3,3,{ZA1:2;ZA3:2;ZA2:2},{ZA2:20;ZA1:8;ZA3:14}
EDI-PPT 1,3,3,{ZA2:2;ZA1:2;ZA3:1},{ZA2:4;ZA1:3;ZA3:6}
EEI-PPT 1,5,5,{ZA1:16;ZA3:4;ZA5:8;ZA4:4;ZA2:32},{ZA5:8;ZA3:14;ZA1:9;ZA2:4;ZA4:34}
EMT-PPT 1,5,5,{ZA1:6;ZA5:2;ZA3:4;ZA4:2;ZA2:2},{ZA2:20;ZA4:32;ZA3:14;ZA5:8;ZA1:8}
EON-PPT 1,8,8,{ZA5:4;ZA7:2;ZA8:4;ZA2:2;ZA4:2;ZA3:2;ZA1:2;ZA6:2},{ZA5:5;ZA7:5;ZA8:4;ZA2:14;ZA4:12;ZA3:13;ZA1:13;ZA6:5}
EOS-PPT 1,5,5,{ZA2:1;ZA4:1;ZA3:2;ZA5:1;ZA1:1},{ZA5:4;ZA3:5;ZA1:6;ZA2:8;ZA4:8}
EPI-PPT 1,2,2,{ZA1:2;ZA2:4},{ZA1:18;ZA2:4}
ERI-PPT 1,3,3,{ZA3:2;ZA1:2;ZA2:2},{ZA1:8;ZA3:11;ZA2:23}
ESV-PPT 1,2,2,{ZA2:4;ZA1:4},{ZA1:11;ZA2:17}
ETL-PPT 1,6,6,{ZA6:4;ZA1:4;ZA5:8;ZA3:8;ZA4:4;ZA2:4},{ZA4:10;ZA2:14;ZA1:7;ZA6:3;ZA3:5;ZA5:4}
ETR-PPT 1,2,2,{ZA2:2;ZA1:2},{ZA2:17;ZA1:11}
ETV-NT,3,3,{ZA2:1;ZA1:1;ZA3:2},{ZA3:10;ZA1:6;ZA2:10}
EUO-PPT 1,5,5,{ZA5:4;ZA3:4;ZA1:8;ZA2:8;ZA4:16},{ZA3:28;ZA5:8;ZA1:3;ZA2:9;ZA4:4}
EWF-PPT 1,8,8,{ZA3:4;ZA1:4;ZA6:16;ZA5:4;ZA2:4;ZA4:8;ZA7:8;ZA8:8},{ZA5:4;ZA2:9;ZA4:3;ZA7:5;ZA8:3;ZA3:28;ZA6:4;ZA1:7}
EWO-PPT 1,4,4,{ZA2:2;ZA4:2;ZA3:2;ZA1:8},{ZA4:4;ZA2:12;ZA1:4;ZA3:6}
EWS-PPT 1,4,4,{ZA4:16;ZA2:8;ZA1:8;ZA3:4},{ZA4:4;ZA2:3;ZA1:3;ZA3:34}
EWT-PPT 1,4,4,{ZA2:2;ZA4:2;ZA3:6;ZA1:6},{ZA3:4;ZA1:4;ZA2:29;ZA4:9}
EZT-PPT 1,7,7,{ZA3:8;ZA5:4;ZA6:8;ZA1:4;ZA2:4;ZA4:4;ZA7:4},{ZA3:4;ZA5:3;ZA6:3;ZA1:6;ZA7:4;ZA2:6;ZA4:9}
FAR-PPT 1,5,5,{ZA1:4;ZA5:2;ZA3:2;ZA4:4;ZA2:2},{ZA5:11;ZA3:23;ZA1:14;ZA2:14;ZA4:11}
FAU-PPT 1,3,3,{ZA2:8;ZA1:8;ZA3:16},{ZA2:26;ZA1:14;ZA3:8}
FER-PPT 1,4,4,{ZA2:2;ZA4:2;ZA3:2;ZA1:8},{ZA4:4;ZA2:18;ZA1:4;ZA3:8}
FRA-PPT 1,5,5,{ZA3:2;ZA5:2;ZA1:2;ZA2:2;ZA4:2},{ZA3:14;ZA5:11;ZA1:14;ZA2:14;ZA4:17}
GIS-PPT 1,1,1,{ZA1:4},{ZA1:10}
GIU-PPT 1,5,5,{ZA5:2;ZA3:2;ZA1:4;ZA2:4;ZA4:4},{ZA2:14;ZA4:11;ZA3:29;ZA5:11;ZA1:11}
GME-PPT 1,3,3,{ZA1:2;ZA3:2;ZA2:2},{ZA2:8;ZA1:8;ZA3:14}
GON-PPT 1,6,6,{ZA4:2;ZA2:8;ZA6:2;ZA1:4;ZA5:2;ZA3:2},{ZA4:4;ZA2:4;ZA1:8;ZA6:4;ZA5:4;ZA3:8}
GOO-PPT 1,6,6,{ZA5:8;ZA3:8;ZA6:4;ZA1:4;ZA2:4;ZA4:8},{ZA3:3;ZA5:3;ZA6:10;ZA1:3;ZA2:3;ZA4:3}
HEU-PPT 1,3,3,{ZA2:4;ZA1:2;ZA3:2},{ZA1:20;ZA3:12;ZA2:6}
HOS-PPT 1,13,13,{ZA9:8;ZA6:4;ZA1:4;ZA3:8;ZA11:16;ZA12:8;ZA8:4;ZA7:2;ZA10:4;ZA4:2;ZA2:2;ZA5:2;ZA13:8},{ZA9:5;ZA11:3;ZA3:6;ZA6:5;ZA1:6;ZA2:30;ZA4:6;ZA7:14;ZA8:6;ZA12:3;ZA10:7;ZA13:3;ZA5:10}
HZF-NT,8,8,{ZA7:4;ZA8:4;ZA4:4;ZA2:4;ZA5:8;ZA6:8;ZA1:8;ZA3:8},{ZA3:7;ZA1:7;ZA6:5;ZA2:8;ZA4:6;ZA8:4;ZA7:4;ZA5:6}
IFR-PPT 1,4,4,{ZA1:4;ZA3:2;ZA4:2;ZA2:4},{ZA4:4;ZA2:7;ZA1:10;ZA3:6}
IFT-PPT 1,6,6,{ZA1:8;ZA6:8;ZA3:8;ZA5:4;ZA4:8;ZA2:4},{ZA6:3;ZA1:4;ZA5:25;ZA3:4;ZA4:9;ZA2:5}
IFU-PPT 1,8,8,{ZA5:4;ZA4:8;ZA2:2;ZA8:2;ZA7:4;ZA1:4;ZA6:2;ZA3:2},{ZA5:6;ZA2:28;ZA4:6;ZA8:4;ZA7:8;ZA3:22;ZA1:4;ZA6:10}
IFW-PPT 1,3,3,{ZA2:2;ZA3:4;ZA1:2},{ZA2:6;ZA3:4;ZA1:24}
IFY-PPT 1,4,4,{ZA4:2;ZA2:2;ZA1:2;ZA3:2},{ZA1:10;ZA3:14;ZA4:6;ZA2:24}
IHW-PPT 1,4,4,{ZA3:16;ZA1:8;ZA2:4;ZA4:16},{ZA4:4;ZA2:28;ZA1:9;ZA3:4}
IM-18_B-PPT 1,5,5,{ZA3:2;ZA5:2;ZA1:2;ZA2:2;ZA4:4},{ZA4:5;ZA2:8;ZA1:6;ZA5:4;ZA3:8}
IMF-PPT 1,19,19,{ZA3:8;ZA1:8;ZA11:8;ZA19:4;ZA15:8;ZA17:8;ZA9:8;ZA14:4;ZA18:8;ZA4:4;ZA6:16;ZA5:16;ZA13:8;ZA7:4;ZA8:8;ZA12:4;ZA10:16;ZA2:4;ZA16:4},{ZA8:10;ZA10:4;ZA12:11;ZA7:10;ZA16:8;ZA2:7;ZA5:7;ZA13:4;ZA6:4;ZA4:6;ZA18:3;ZA14:10;ZA9:6;ZA15:4;ZA17:3;ZA19:6;ZA1:5;ZA3:5;ZA11:10}
ION-PPT 1,13,13,{ZA2:4;ZA4:8;ZA8:4;ZA10:4;ZA7:8;ZA12:8;ZA13:8;ZA5:8;ZA9:4;ZA11:4;ZA3:8;ZA1:8;ZA6:4},{ZA2:10;ZA4:8;ZA8:3;ZA10:3;ZA7:4;ZA12:3;ZA13:3;ZA5:6;ZA9:12;ZA11:7;ZA3:4;ZA1:4;ZA6:9}
IPC-6_A-NT,14,14,{ZA9:4;ZA11:4;ZA6:2;ZA1:2;ZA3:1;ZA4:4;ZA2:1;ZA10:1;ZA8:1;ZA12:2;ZA7:4;ZA13:1;ZA14:1;ZA5:1},{ZA11:4;ZA6:5;ZA1:9;ZA3:20;ZA9:4;ZA13:8;ZA14:4;ZA5:18;ZA4:4;ZA2:6;ZA10:12;ZA8:8;ZA7:4;ZA12:5}
IRN-PPT 1,4,4,{ZA4:2;ZA2:4;ZA1:8;ZA3:2},{ZA2:9;ZA4:14;ZA3:36;ZA1:5}
IRR-PPT 1,8,8,{ZA5:6;ZA7:6;ZA8:1;ZA4:1;ZA2:2;ZA6:3;ZA1:4;ZA3:3},{ZA5:5;ZA4:14;ZA2:5;ZA7:3;ZA8:8;ZA6:14;ZA1:4;ZA3:6}
IRY-PPT 1,6,6,{ZA3:6;ZA5:2;ZA1:4;ZA6:2;ZA2:2;ZA4:2},{ZA2:5;ZA4:30;ZA3:4;ZA5:14;ZA6:5;ZA1:4}
