filename,beforeAtomNumber,afterAtomNumber,Deleted
ABW-PPT 1.cif,5,5,0
ACO-PPT 1.cif,4,4,0
AEI-PPT 1.cif,12,12,0
AEL-PPT 1.cif,12,12,0
AEN-PPT 1.cif,13,13,0
AET-PPT 1.cif,20,20,0
AFG-PPT 1.cif,10,10,0
AFI-PPT 1.cif,6,6,0
AFN-PPT 1.cif,18,18,0
AFO-PPT 1.cif,14,14,0
AFR-PPT 1.cif,16,16,0
AFS-PPT 1.cif,12,11,1
AFT-PPT 1.cif,16,16,0
AFV-PPT 1.cif,13,13,0
AFX-PPT 1.cif,11,11,0
AFY-PPT 1.cif,8,8,0
AHT-PPT 1.cif,9,9,0
ANA-PPT 1.cif,4,3,1
ANO-PPT 1.cif,20,20,0
APC-PPT 1.cif,10,10,0
APD-NT.cif,11,10,1
AST-PPT 1.cif,4,4,0
ASV-PPT 1.cif,7,7,0
ATN-PPT 1.cif,6,6,0
ATO-PPT 1.cif,6,6,0
ATS-PPT 1.cif,10,10,0
ATT-PPT 1.cif,10,10,0
ATV-PPT 1.cif,9,9,0
AVE-PPT 1.cif,19,19,0
AVL-PPT 1.cif,17,17,0
AWO-PPT 1.cif,13,13,0
AWW-PPT 1.cif,8,8,0
BCT-PPT 1.cif,4,4,0
BEC-PPT 1.cif,13,10,1
Beta_A-PPT 1.cif,29,28,1
Beta_B-NT.cif,28,27,1
Beta_CH-NT.cif,55,53,1
BIK-PPT 1.cif,7,7,0
BOF-PPT 1.cif,10,10,0
BOG-PPT 1.cif,25,24,1
BOZ-PPT 1.cif,27,27,0
BPH-PPT 1.cif,12,11,1
BRE-PPT 1.cif,14,14,0
BSV-PPT 1.cif,5,4,1
CAN-PPT 1.cif,5,5,0
CAS-PPT 1.cif,11,11,0
CDO-PPT 1.cif,14,14,0
CFI-PPT 1.cif,14,14,0
CGF-NT.cif,17,17,0
CGS-PPT 1.cif,14,14,0
CHA-PPT 1.cif,6,6,0
CHI-PPT 1.cif,14,14,0
CIT-13_A-PPT 1.cif,24,20,1
CIT-13_B-PPT 1.cif,23,19,1
CIT-13_C-PPT 1.cif,37,35,1
CLO-PPT 1.cif,24,21,1
CON_-NT.cif,28,26,1
CSV-PPT 1.cif,31,31,0
CZP-NT.cif,10,10,0
DAC-PPT 1.cif,16,14,1
DDR-PPT 1.cif,19,19,0
DFO-PPT 1.cif,30,26,1
DFT-PPT 1.cif,6,5,1
DOH-PPT 1.cif,11,11,0
DON-PPT 1.cif,18,18,0
EAB-PPT 1.cif,9,9,0
EDI-PPT 1.cif,7,7,0
EEI-PPT 1.cif,31,31,0
EMT-PPT 1.cif,18,18,0
EON-PPT 1.cif,40,39,1
EOS-PPT 1.cif,16,15,1
EPI-PPT 1.cif,13,13,0
ERI-PPT 1.cif,9,9,0
ESV-PPT 1.cif,21,21,0
ETL-PPT 1.cif,25,25,0
ETR-PPT 1.cif,16,16,0
ETV-NT.cif,23,22,1
EUO-PPT 1.cif,32,32,0
EWF-PPT 1.cif,31,31,0
EWO-PPT 1.cif,13,13,0
EWS-PPT 1.cif,21,21,0
EWT-PPT 1.cif,41,41,0
EZT-PPT 1.cif,18,17,1
FAR-PPT 1.cif,16,16,0
FAU-PPT 1.cif,6,6,0
FER-PPT 1.cif,15,13,1
FRA-PPT 1.cif,21,21,0
GIS-PPT 1.cif,4,4,0
GIU-PPT 1.cif,18,18,0
GME-PPT 1.cif,7,7,0
GON-PPT 1.cif,18,18,0
GOO-PPT 1.cif,17,17,0
HEU-PPT 1.cif,17,17,0
HOS-PPT 1.cif,41,39,1
HZF-NT.cif,41,39,1
IFR-PPT 1.cif,16,16,0
IFT-PPT 1.cif,38,38,0
IFU-PPT 1.cif,36,33,1
IFW-PPT 1.cif,30,30,0
IFY-PPT 1.cif,15,14,1
IHW-PPT 1.cif,28,28,0
IM-18_B-PPT 1.cif,17,17,0
IMF-PPT 1.cif,81,81,0
ION-PPT 1.cif,72,72,0
IPC-6_A-NT.cif,67,63,1
IRN-PPT 1.cif,28,28,0
IRR-PPT 1.cif,16,14,1
IRY-PPT 1.cif,19,18,1
ISV-PPT 1.cif,24,22,1
ITE-PPT 1.cif,15,15,0
ITG-PPT 1.cif,58,52,1
ITH-PPT 1.cif,35,34,1
ITR-PPT 1.cif,33,32,1
ITT-PPT 1.cif,15,13,1
ITW-PPT 1.cif,13,13,0
IWR-PPT 1.cif,19,16,1
IWS-PPT 1.cif,25,25,0
IWV-PPT 1.cif,23,23,0
IWW-PPT 1.cif,57,54,1
JBW-PPT 1.cif,7,7,0
JNT-NT.cif,31,29,1
JOZ-PPT 1.cif,10,10,0
JRY-NT.cif,15,15,0
JSN-PPT 1.cif,14,14,0
JSR-PPT 1.cif,13,13,0
JST-PPT 1.cif,8,8,0
JSW-NT.cif,20,20,0
JSY-PPT 1.cif,14,14,0
JZO-NT.cif,73,72,1
JZT-NT.cif,35,33,1
KFI-PPT 1.cif,7,7,0
LAU-PPT 1.cif,12,12,0
LEV-PPT 1.cif,8,8,0
LIO-PPT 1.cif,15,15,0
LIT-PPT 1.cif,14,14,0
LOS-PPT 1.cif,6,6,0
LOV-PPT 1.cif,12,11,1
LTA-PPT 1.cif,5,5,0
LTF-PPT 1.cif,27,26,1
LTJ-PPT 1.cif,10,10,0
LTL-PPT 1.cif,11,10,1
LTN-PPT 1.cif,17,17,0
MAR-PPT 1.cif,14,14,0
MAZ-PPT 1.cif,11,11,0
MEI-PPT 1.cif,12,12,0
MEL-PPT 1.cif,27,26,1
MEP-PPT 1.cif,7,7,0
MER-PPT 1.cif,8,7,1
MFI-PPT 1.cif,43,43,0
MFS-PPT 1.cif,26,26,0
MON-PPT 1.cif,5,5,0
MOR-PPT 1.cif,17,16,1
MOZ-PPT 1.cif,27,25,1
MRT-PPT 1.cif,18,18,0
MSE-PPT 1.cif,30,30,0
MSO-PPT 1.cif,10,10,0
MTF-PPT 1.cif,20,20,0
MTN-PPT 1.cif,7,7,0
MTT-PPT 1.cif,19,19,0
MTW-PPT 1.cif,20,20,0
MVY-NT.cif,9,9,0
MWF-PPT 1.cif,71,70,1
MWW-PPT 1.cif,25,23,1
NAB-PPT 1.cif,7,7,0
NAT-PPT 1.cif,7,6,1
NES-PPT 1.cif,22,22,0
NON-PPT 1.cif,15,15,0
NPO-PPT 1.cif,4,4,0
NPT-PPT 1.cif,9,9,0
NSI-PPT 1.cif,10,10,0
OBW-PPT 1.cif,17,17,0
OFF-PPT 1.cif,11,10,1
OKO-NT.cif,36,34,1
OSI-PPT 1.cif,9,9,0
OSO-PPT 1.cif,5,5,0
OWE-PPT 1.cif,13,12,1
PAR-NT.cif,15,14,1
PAU-PPT 1.cif,36,35,1
PCR-NT.cif,32,30,1
PHI-PPT 1.cif,10,10,0
PON-NT.cif,21,21,0
POR-PPT 1.cif,19,19,0
POS-PPT 1.cif,21,21,0
PSI-PPT 1.cif,36,36,0
PTF-PPT 1.cif,36,36,0
PTT-PPT 1.cif,10,10,0
